,Mano,Grande,Stddev_grande,Chica,Stddev_chica,Pares_1,Stddev_pares_1,Pares_2,Stddev_pares_2,Juego_1,Stddev_juego_1,Juego_2,Stddev_juego_2,Punto,Stddev_punto,Grande_value,Chica_value,Pares_value,Juego_value,Pares_repr,Juego_repr,Muestras_total,Muestras_pares_1,Muestras_pares_2,Muestras_juego_1,Muestras_juego_2,Muestras_punto,Sample_size
0,S S S S (4),0.203131,2.83368,0.0,0.0,90.0685,18.8987,89.5484,19.7859,72.3823,28.2577,42.462,39.9041,0.0,0.0,6666.1,6665.9,6666.1,40.1, S S S S (4), 40 (4),288473,983585,935100,983585,471827,0,300000
1,S S A A (4),0.202483,0.19138,71.9774,1.91617,91.8563,1.16735,91.1423,1.26493,0.0,0.0,0.0,0.0,1.42879,0.849216,6611.1,1165.9,6611.1,22.1, S S A A (4), 22 (4),300000,165452630,152117171,106580937,26438857,4286,300000
2,5 5 A A (2),0.0,0.0,88.6034,1.35259,89.592,1.30127,88.6797,1.40843,0.0,0.0,0.0,0.0,5.38194e-06,0.0020855,3311.3,1132.7,3311.3,12.3, 5 5 A A (2), 12 (2),300000,165488805,152151629,124577441,42372889,0,300000
3,R C 5 4 (1),37.6421,1.18066,1.49317,0.295622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.4935,1.29766,8732.4,2377.6,0.4,29.4, X X X X (1), 29 (1),300000,466221497,307108784,308846689,69698389,262480,300000
4,5 5 A A (4),0.0,0.0,88.5536,1.35609,89.5493,1.30541,88.6332,1.4128,0.0,0.0,0.0,0.0,0.0,0.0,3311.1,1132.9,3311.1,12.1, 5 5 A A (4), 12 (4),300000,165429706,152097579,124545365,42355060,0,300000
5,R C 5 4 (3),37.2677,1.17835,1.45549,0.292596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0582,1.53643,8732.2,2377.8,0.2,29.2, X X X X (3), 29 (3),300000,466212465,307076297,308802695,69680196,243174,300000
6,7 6 5 4 (1),0.00646256,0.0277485,2.02387,0.486033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.91395,1.60299,5432.4,2344.6,0.4,22.4, X X X X (1), 22 (1),300000,235664917,159977182,176635669,51523853,20741,300000
7,6 6 4 A (1),0.000134572,0.00464532,47.1826,1.99137,22.4353,1.66038,16.4141,1.53233,0.0,0.0,0.0,0.0,0.0637137,0.193655,4421.4,1243.6,44.4,17.4, 6 6 X X (1), 17 (1),300000,189097158,175475346,137665104,43533544,191,300000
8,C C 4 A (3),2.32792,0.601216,34.9441,1.89538,38.9403,1.94395,34.1994,1.96381,0.0,0.0,0.0,0.0,14.8859,2.35125,7721.2,1276.8,77.2,25.2, C C X X (3), 25 (3),300000,189097673,175473614,119853431,28832299,44657,300000
9,R R R R (1),100.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,74.6811,2.87224,47.1556,4.778,0.0,0.0,8888.4,8887.6,8888.4,40.4, R R R R (1), 40 (1),300000,68922677,62406504,68922677,33022415,0,300000
10,S 7 5 A (1),0.129937,0.0879795,22.4745,1.01836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.26336,1.15441,6531.4,1355.6,0.4,23.4, X X X X (1), 23 (1),300000,466222747,307088796,333614049,87008043,24790,300000
11,5 5 A A (3),0.0,0.0,88.5771,1.3556,89.5641,1.30536,88.6489,1.41265,0.0,0.0,0.0,0.0,0.0,0.0,3311.2,1132.8,3311.2,12.2, 5 5 A A (3), 12 (3),300000,165447788,152108530,124552277,42355194,0,300000
12,R C 5 4 (2),37.4564,1.18246,1.47421,0.293064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.2257,1.4292,8732.3,2377.7,0.3,29.3, X X X X (2), 29 (2),300000,466182251,307072590,308805756,69677254,252677,300000
13,R R R 6 (1),99.3638,0.293336,0.000522251,0.00844473,89.8529,1.11127,88.8389,1.21558,64.0341,1.77057,32.6468,2.3655,0.0,0.0,8884.4,4887.6,888.4,36.4, R R R X (1), 36 (1),300000,220586307,200547306,220586307,117789968,0,300000
14,6 6 A A (3),0.000120213,0.00469301,81.7679,1.64663,90.1649,1.26727,89.3025,1.37209,0.0,0.0,0.0,0.0,0.000123587,0.00932821,4411.2,1143.8,4411.2,14.2, 6 6 A A (3), 14 (3),300000,165444944,152109287,122317409,39971748,0,300000
15,A A A A (1),0.0,0.0,100.0,0.0,90.123,1.97146,89.0922,2.16574,0.0,0.0,0.0,0.0,0.0,0.0,1111.4,1110.6,1111.4,4.4, A A A A (1), 4 (1),300000,68936626,62423096,54664012,20954015,0,300000
16,7 7 4 A (4),0.00928235,0.0384212,41.7709,1.96912,26.472,1.75512,20.7653,1.67714,0.0,0.0,0.0,0.0,0.194015,0.325966,5521.1,1254.9,55.1,19.1, 7 7 X X (4), 19 (4),300000,189088607,175470120,134092998,40116010,582,300000
17,C S 6 4 (1),1.75769,0.454462,1.03233,0.349112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,7642.4,2466.6,0.4,30.4, X X X X (1), 30 (1),300000,235679721,159979912,152363124,33539939,300000,300000
18,4 4 4 A (2),0.0,0.0,56.0905,4.86061,77.6328,4.08973,76.0581,4.33193,0.0,0.0,0.0,0.0,8.67046e-05,0.0198107,2221.3,1221.7,222.3,13.3, 4 4 4 X (2), 13 (2),300000,31512705,29439608,24056630,8433486,0,300000
19,7 7 A A (1),0.0092309,0.0409744,76.3176,1.81443,90.9839,1.22005,90.1936,1.32136,0.0,0.0,0.0,0.0,0.0093543,0.07748,5511.4,1154.6,5511.4,16.4, 7 7 A A (1), 16 (1),300000,165448105,152114409,118300403,35999461,28,300000
20,R R A A (3),66.2642,0.933501,66.2623,0.933502,96.433,0.364933,96.0052,0.407781,0.0,0.0,0.0,0.0,2.05295,0.469339,8811.2,1187.8,8811.2,22.2, R R A A (3), 22 (3),300000,772061788,689377595,497341613,123369541,6158,300000
21,6 6 A A (4),0.000126677,0.00478989,81.7416,1.64648,90.1418,1.26865,89.2777,1.373,0.0,0.0,0.0,0.0,8.34902e-05,0.00764186,4411.1,1143.9,4411.1,14.1, 6 6 A A (4), 14 (4),300000,165450680,152117023,122313909,39959835,0,300000
22,S 7 5 4 (1),0.134861,0.126888,1.79145,0.457835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0541,2.80112,6532.4,2355.6,0.4,26.4, X X X X (1), 26 (1),300000,235676897,159987393,164645840,41850643,105162,300000
23,A A A A (2),0.0,0.0,99.9983,0.0273437,90.1247,1.96971,89.093,2.16424,0.0,0.0,0.0,0.0,0.0,0.0,1111.3,1110.7,1111.3,4.3, A A A A (2), 4 (2),300000,68941102,62420500,54666246,20948800,0,300000
24,6 6 A A (2),0.000122459,0.00470959,81.7948,1.64001,90.1899,1.26785,89.3298,1.37281,0.0,0.0,0.0,0.0,0.000225859,0.0125399,4411.3,1143.7,4411.3,14.3, 6 6 A A (2), 14 (2),300000,165472501,152134198,122327876,39970499,0,300000
25,C C A A (4),2.31606,0.641984,68.8663,1.96983,92.9829,1.08713,92.3678,1.1785,0.0,0.0,0.0,0.0,1.4237,0.84624,7711.1,1176.9,7711.1,22.1, C C A A (4), 22 (4),300000,165433870,152101034,106566756,26432043,4271,300000
26,S S A A (1),0.203,0.191643,72.0438,1.91233,91.9252,1.16167,91.2169,1.2591,0.0,0.0,0.0,0.0,4.19576,1.43523,6611.4,1165.6,6611.4,22.4, S S A A (1), 22 (1),300000,165439381,152099222,106564953,26431616,12587,300000
27,C 7 7 6 (3),1.21406,0.618023,0.00720849,0.0479208,28.3625,2.54352,23.6083,2.47653,0.0,0.0,0.0,0.0,90.3827,2.68213,7554.2,4556.8,55.2,30.2, 7 7 X X (3), 30 (3),300000,94560100,88675143,58004653,13081826,271148,300000
28,5 5 5 5 (1),0.0,0.0,0.218743,2.95349,86.6923,21.4581,86.0286,22.3596,0.0,0.0,0.0,0.0,0.812928,7.93203,3333.4,3332.6,3333.4,20.4, 5 5 5 5 (1), 20 (1),288875,987542,939362,699426,207964,1506,300000
29,S S 5 5 (3),0.207584,0.420409,0.208784,0.421455,90.6567,2.69558,90.0672,2.8573,0.0,0.0,0.0,0.0,90.735,4.26823,6633.2,3365.8,6633.2,30.2, S S 5 5 (3), 30 (3),300000,35447651,33344270,21322731,4652416,272205,300000
30,7 A A A (4),0.000496695,0.00822161,99.2112,0.326269,78.1909,1.52708,76.0111,1.6561,0.0,0.0,0.0,0.0,0.0,0.0,5111.1,1114.9,111.1,10.1, A A A X (4), 10 (4),300000,220578909,200535557,166388283,56874129,0,300000
31,R R R 4 (2),98.9042,0.384014,0.419215,0.238337,89.3656,1.13855,88.3024,1.24511,52.3197,1.84262,13.6455,1.70758,0.0,0.0,8882.3,2887.7,888.3,34.3, R R R X (2), 34 (2),300000,220594114,200544537,220594114,121799794,0,300000
32,R 6 6 6 (2),8.40142,2.72047,0.010034,0.0982283,81.2428,3.82833,79.9228,4.06471,0.0,0.0,0.0,0.0,66.9408,7.74744,8444.3,4447.7,444.3,28.3, 6 6 6 X (2), 28 (2),300000,31511700,29439635,20157618,4921004,200822,300000
33,R 7 7 7 (3),14.22,3.41816,0.00016999,0.0128483,81.7885,3.77445,80.507,4.01013,81.3398,3.82014,68.9433,5.87611,0.0,0.0,8555.2,5557.8,555.2,31.2, 7 7 7 X (3), 31 (3),300000,31510993,29439413,31510993,18933841,0,300000
34,R S S S (4),27.1087,4.3648,0.0,0.0,82.3542,3.74411,81.1122,3.9786,72.4363,4.37931,42.4719,7.04083,0.0,0.0,8666.1,6667.9,666.1,40.1, S S S X (4), 40 (4),300000,31513680,29441458,31513680,15099324,0,300000
35,7 6 6 4 (1),0.00734781,0.0484118,1.2155,0.618227,23.8679,2.40477,18.8145,2.27505,0.0,0.0,0.0,0.0,10.1036,3.07865,5442.4,2444.6,44.4,23.4, 6 6 X X (1), 23 (1),300000,94532942,88648844,65369546,18558436,30310,300000
36,5 5 4 A (4),0.0,0.0,54.0032,1.98656,17.4855,1.51488,11.0781,1.30083,0.0,0.0,0.0,0.0,0.000689782,0.0206672,3321.1,1232.9,33.1,15.1, 5 5 X X (4), 15 (4),300000,189072412,175448436,140299545,46218129,2,300000
37,R C 6 4 (3),40.4631,1.1981,0.910541,0.231445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.9725,1.05599,8742.2,2477.8,0.2,30.2, X X X X (3), 30 (3),300000,466212543,307099298,304703456,67084478,275917,300000
38,6 5 5 5 (1),9.78399e-05,0.0135351,0.21583,0.647486,77.6858,5.7972,76.3446,6.09567,0.0,0.0,0.0,0.0,1.76116,3.48377,4333.4,3333.6,333.4,21.4, 5 5 5 X (1), 21 (1),300000,15758904,14865199,11152817,3322753,5283,300000
39,C S 5 5 (3),1.62348,0.714196,0.206346,0.255999,20.9892,2.29662,15.7463,2.1235,0.0,0.0,0.0,0.0,90.7255,2.60224,7633.2,3366.8,33.2,30.2, 5 5 X X (3), 30 (3),300000,94539792,88657054,56862340,12409802,272176,300000
40,7 7 7 5 (2),0.00980979,0.137474,0.0809456,0.395524,78.3414,5.7427,77.0418,6.04122,0.0,0.0,0.0,0.0,33.1507,11.4919,5553.3,3554.7,555.3,26.3, 7 7 7 X (2), 26 (2),300000,15757493,14865637,10391837,2678866,99452,300000
41,R R 7 5 (4),80.111,1.03972,0.050149,0.0583995,53.9888,1.29662,49.7604,1.36015,70.1227,1.19246,48.7963,1.70398,0.0,0.0,8853.1,3587.9,88.1,32.1, R R X X (4), 32 (4),300000,441174127,404043010,441174127,257424172,0,300000
42,S 7 7 A (1),0.174049,0.165966,8.40165,1.10713,30.0859,1.82913,24.6575,1.78511,0.0,0.0,0.0,0.0,21.6498,2.74592,6551.4,1555.6,55.4,25.4, 7 7 X X (1), 25 (1),300000,189093473,175469231,121184874,29687090,64949,300000
43,R R R R (4),99.9949,0.047075,0.0,0.0,99.9949,0.047075,99.9944,0.052026,72.4381,2.9496,42.4756,4.72956,0.0,0.0,8888.1,8887.9,8888.1,40.1, R R R R (4), 40 (4),300000,68945891,62429143,68945891,33034867,0,300000
44,S 7 5 A (4),0.120402,0.0846446,22.0954,1.01473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.65718,0.968127,6531.1,1355.9,0.1,23.1, X X X X (4), 23 (4),300000,466235512,307069329,333629829,87011246,16971,300000
45,R S 7 4 (1),24.8455,1.05224,0.720571,0.206721,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,8652.4,2567.6,0.4,31.4, X X X X (1), 31 (1),300000,466224144,307077176,504207942,299868442,0,300000
46,R C C C (3),56.0748,4.87153,0.0,0.0,82.9055,3.69655,81.7041,3.92879,73.193,4.34121,44.0633,7.06253,0.0,0.0,8777.2,7777.8,777.2,40.2, C C C X (3), 40 (3),300000,31503246,29434498,31503246,15097092,0,300000
47,7 7 A A (2),0.00922906,0.0410519,76.2889,1.81479,90.96,1.22154,90.1678,1.32326,0.0,0.0,0.0,0.0,0.0050198,0.0567204,5511.3,1154.7,5511.3,16.3, 7 7 A A (2), 16 (2),300000,165459141,152128010,118311927,36000892,15,300000
48,R R A A (4),65.9313,0.933815,65.9316,0.936428,96.0571,0.383966,95.5841,0.429015,0.0,0.0,0.0,0.0,1.4262,0.391283,8811.1,1187.9,8811.1,22.1, R R A A (4), 22 (4),300000,772097233,689392770,497382996,123378394,4278,300000
49,6 A A A (4),0.0,0.0,99.4141,0.281557,78.1913,1.52351,76.011,1.65285,0.0,0.0,0.0,0.0,0.0,0.0,4111.1,1113.9,111.1,9.1, A A A X (4), 9 (4),300000,220576717,200529322,168937965,59720580,0,300000
50,7 7 7 A (4),0.010188,0.0990539,8.40057,2.72043,79.2231,3.98227,77.7623,4.22446,0.0,0.0,0.0,0.0,2.04723,2.46441,5551.1,1554.9,555.1,22.1, 7 7 7 X (4), 22 (4),300000,31511504,29441441,21285840,5760648,6141,300000
51,5 A A A (2),0.0,0.0,99.7201,0.194559,79.0713,1.50194,76.9793,1.62991,0.0,0.0,0.0,0.0,0.0,0.0,3111.3,1112.7,111.3,8.3, A A A X (2), 8 (2),300000,220582079,200535989,170616642,61672050,0,300000
52,S 6 A A (4),0.0500537,0.0585254,80.1051,1.04002,8.41582,0.72305,0.0,0.0,0.0,0.0,0.0,0.0,0.0366903,0.0904937,6411.1,1145.9,11.1,18.1, A A X X (4), 18 (4),300000,441154467,404027580,305905159,87567419,110,300000
53,R 7 5 4 (1),11.7855,0.787211,1.72271,0.317515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0547,1.97733,8532.4,2357.6,0.4,26.4, X X X X (1), 26 (1),300000,466247270,307127968,329301488,83700604,105164,300000
54,6 5 5 A (3),9.20598e-05,0.00381359,27.0646,1.77186,19.6558,1.58491,13.4197,1.40763,0.0,0.0,0.0,0.0,0.0280043,0.128044,4331.2,1333.8,33.2,17.2, 5 5 X X (3), 17 (3),300000,189081392,175462159,137664849,43535021,84,300000
55,R S S 7 (1),27.1028,1.7722,8.20939e-05,0.00361343,38.6461,1.94224,33.8833,1.95869,69.3458,1.83792,41.2968,2.72088,0.0,0.0,8665.4,5667.6,66.4,37.4, S S X X (1), 37 (1),300000,189095361,175473623,189095361,98743608,0,300000
56,S 7 6 6 (4),0.167088,0.230658,0.0100005,0.0564116,25.3608,2.45803,20.4058,2.34934,0.0,0.0,0.0,0.0,75.3312,3.99285,6544.1,4455.9,44.1,29.1, 6 6 X X (4), 29 (4),300000,94547358,88661216,59208742,13879165,225993,300000
57,R R R C (3),99.8726,0.13161,0.0,0.0,88.8797,1.15889,87.7685,1.26694,73.1857,1.63439,44.0391,2.64811,0.0,0.0,8887.2,7887.8,888.2,40.2, R R R X (3), 40 (3),300000,220606691,200565511,220606691,105706021,0,300000
58,R C C S (2),56.0543,1.97405,0.0,0.0,45.4936,1.98097,41.2634,2.03488,73.9325,1.75274,45.5967,2.87304,0.0,0.0,8776.3,6777.7,77.3,40.3, C C X X (2), 40 (2),300000,189077748,175460492,189077748,90596787,0,300000
59,S 4 A A (4),0.0247481,0.0409416,93.2435,0.654811,8.41829,0.726035,0.0,0.0,0.0,0.0,0.0,0.0,0.000937073,0.014899,6211.1,1125.9,11.1,16.1, A A X X (4), 16 (4),300000,441219594,404076548,314069050,94874959,2,300000
60,R 5 5 4 (1),5.75076,0.928746,2.08581,0.569927,21.802,1.6479,15.7353,1.5092,0.0,0.0,0.0,0.0,13.4397,2.36064,8332.4,2337.6,33.4,24.4, 5 5 X X (1), 24 (1),300000,189089453,175476029,126420537,33649998,40319,300000
