,Mano,Chica,Stddev_chica,Chica_value
15,A A A A (1),100.0,0.0,1110.6
23,A A A A (2),99.9983,0.0273437,1110.7
567,A A A A (3),99.9967,0.0376672,1110.8
511,A A A A (4),99.9949,0.0473567,1110.9
1027,4 A A A (1),99.9745,0.058735,1111.6
65,4 A A A (2),99.9234,0.102255,1111.7
810,4 A A A (3),99.8723,0.131662,1111.8
1051,4 A A A (4),99.8217,0.155706,1111.9
1147,5 A A A (1),99.771,0.176627,1112.6
51,5 A A A (2),99.7201,0.194559,1112.7
191,5 A A A (3),99.6685,0.212102,1112.8
1224,5 A A A (4),99.6179,0.2273,1112.9
339,6 A A A (1),99.567,0.241922,1113.6
151,6 A A A (2),99.516,0.255988,1113.7
166,6 A A A (3),99.4652,0.269318,1113.8
49,6 A A A (4),99.4141,0.281557,1113.9
1124,7 A A A (1),99.3642,0.293302,1114.6
1175,7 A A A (2),99.3138,0.305423,1114.7
77,7 A A A (3),99.261,0.315947,1114.8
30,7 A A A (4),99.2112,0.326269,1114.9
1109,S A A A (1),99.1602,0.336896,1115.6
912,S A A A (2),99.108,0.347699,1115.7
68,S A A A (3),99.0576,0.356843,1115.8
498,S A A A (4),99.0071,0.36572,1115.9
270,C A A A (1),98.9568,0.375092,1116.6
565,C A A A (2),98.9038,0.384188,1116.7
820,C A A A (3),98.8535,0.392074,1116.8
881,C A A A (4),98.8024,0.401431,1116.9
305,R A A A (1),98.7517,0.289649,1117.6
524,R A A A (2),98.6336,0.303247,1117.7
1273,R A A A (3),98.5151,0.314617,1117.8
814,R A A A (4),98.3965,0.327106,1117.9
91,4 4 A A (1),96.8717,0.74255,1121.6
96,4 4 A A (2),96.8447,0.744122,1121.7
1143,4 4 A A (3),96.8187,0.747584,1121.8
183,4 4 A A (4),96.7939,0.750654,1121.9
110,5 4 A A (1),96.6416,0.470261,1122.6
1296,5 4 A A (2),96.4143,0.484656,1122.7
326,5 4 A A (3),96.1862,0.498658,1122.8
994,5 4 A A (4),95.9593,0.514502,1122.9
676,6 4 A A (1),95.7338,0.526554,1123.6
1000,6 4 A A (2),95.5052,0.540652,1123.7
221,6 4 A A (3),95.2789,0.552753,1123.8
1268,6 4 A A (4),95.052,0.565598,1123.9
977,7 4 A A (1),94.8267,0.577822,1124.6
1192,7 4 A A (2),94.6004,0.589595,1124.7
1260,7 4 A A (3),94.3738,0.601448,1124.8
976,7 4 A A (4),94.1461,0.612294,1124.9
736,S 4 A A (1),93.9176,0.624078,1125.6
452,S 4 A A (2),93.6927,0.63527,1125.7
1236,S 4 A A (3),93.4684,0.645047,1125.8
59,S 4 A A (4),93.2435,0.654811,1125.9
591,C 4 A A (1),93.0186,0.66609,1126.6
1171,C 4 A A (2),92.7909,0.674367,1126.7
998,C 4 A A (3),92.5674,0.682936,1126.8
128,C 4 A A (4),92.3462,0.692655,1126.9
155,R 4 A A (1),92.1201,0.495907,1127.6
370,R 4 A A (2),91.5943,0.511291,1127.7
958,R 4 A A (3),91.0726,0.525584,1127.8
104,R 4 A A (4),90.5496,0.540119,1127.9
108,5 5 A A (1),88.6238,1.35316,1132.6
2,5 5 A A (2),88.6034,1.35259,1132.7
11,5 5 A A (3),88.5771,1.3556,1132.8
4,5 5 A A (4),88.5536,1.35609,1132.9
1135,6 5 A A (1),88.4094,0.834108,1133.6
1122,6 5 A A (2),88.1866,0.841684,1133.7
917,6 5 A A (3),87.966,0.848777,1133.8
1088,6 5 A A (4),87.7466,0.853592,1133.9
1207,7 5 A A (1),87.5271,0.861583,1134.6
959,7 5 A A (2),87.307,0.869185,1134.7
1018,7 5 A A (3),87.0878,0.873305,1134.8
1204,7 5 A A (4),86.8734,0.88347,1134.9
495,S 5 A A (1),86.6524,0.886095,1135.6
842,S 5 A A (2),86.4326,0.893024,1135.7
1157,S 5 A A (3),86.2161,0.901011,1135.8
773,S 5 A A (4),85.9946,0.905808,1135.9
601,C 5 A A (1),85.7788,0.911459,1136.6
392,C 5 A A (2),85.5586,0.916948,1136.7
1041,C 5 A A (3),85.3419,0.92411,1136.8
849,C 5 A A (4),85.126,0.928926,1136.9
429,R 5 A A (1),84.906,0.660891,1137.6
897,R 5 A A (2),84.3991,0.66908,1137.7
1278,R 5 A A (3),83.8922,0.678668,1137.8
1276,R 5 A A (4),83.3887,0.687109,1137.9
113,6 6 A A (1),81.8115,1.64459,1143.6
24,6 6 A A (2),81.7948,1.64001,1143.7
14,6 6 A A (3),81.7679,1.64663,1143.8
21,6 6 A A (4),81.7416,1.64648,1143.9
902,7 6 A A (1),81.6002,1.0113,1144.6
1239,7 6 A A (2),81.3859,1.01363,1144.7
1028,7 6 A A (3),81.1715,1.02095,1144.8
63,7 6 A A (4),80.9574,1.02424,1144.9
1010,S 6 A A (1),80.7456,1.02972,1145.6
373,S 6 A A (2),80.5363,1.033,1145.7
1148,S 6 A A (3),80.3217,1.03695,1145.8
52,S 6 A A (4),80.1051,1.04002,1145.9
766,C 6 A A (1),79.8954,1.04455,1146.6
1209,C 6 A A (2),79.6853,1.04998,1146.7
340,C 6 A A (3),79.4703,1.05371,1146.8
150,C 6 A A (4),79.2589,1.05932,1146.9
931,R 6 A A (1),79.0478,0.751808,1147.6
1081,R 6 A A (2),78.5568,0.757602,1147.7
1125,R 6 A A (3),78.0627,0.763544,1147.8
1176,R 6 A A (4),77.5711,0.768971,1147.9
19,7 7 A A (1),76.3176,1.81443,1154.6
47,7 7 A A (2),76.2889,1.81479,1154.7
90,7 7 A A (3),76.2679,1.81456,1154.8
94,7 7 A A (4),76.2487,1.81494,1154.9
120,S 7 A A (1),76.1083,1.11322,1155.6
649,S 7 A A (2),75.8981,1.11465,1155.7
109,S 7 A A (3),75.691,1.11814,1155.8
1295,S 7 A A (4),75.4853,1.12307,1155.9
276,C 7 A A (1),75.2778,1.12275,1156.6
222,C 7 A A (2),75.0636,1.13007,1156.7
675,C 7 A A (3),74.8589,1.1312,1156.8
999,C 7 A A (4),74.6553,1.13537,1156.9
1062,R 7 A A (1),74.4482,0.802677,1157.6
1117,R 7 A A (2),73.9662,0.809578,1157.7
978,R 7 A A (3),73.4848,0.814194,1157.8
1193,R 7 A A (4),73.0013,0.819571,1157.9
26,S S A A (1),72.0438,1.91233,1165.6
1287,S S A A (2),72.0196,1.91156,1165.7
107,S S A A (3),71.9995,1.91313,1165.8
1,S S A A (4),71.9774,1.91617,1165.9
185,C S A A (1),71.8415,1.17323,1166.6
781,C S A A (2),71.6388,1.17473,1166.7
1134,C S A A (3),71.4368,1.17897,1166.8
1123,C S A A (4),71.2309,1.17993,1166.9
970,R S A A (1),71.024,0.837839,1167.6
906,R S A A (2),70.5522,0.840301,1167.7
1208,R S A A (3),70.0801,0.84499,1167.8
960,R S A A (4),69.6081,0.846937,1167.9
92,C C A A (1),68.9363,1.97207,1176.6
177,C C A A (2),68.9118,1.97393,1176.7
114,C C A A (3),68.8919,1.97357,1176.8
25,C C A A (4),68.8663,1.96983,1176.9
153,R C A A (1),68.7337,0.854614,1177.6
1026,R C A A (2),68.2623,0.857408,1177.7
903,R C A A (3),67.7923,0.861893,1177.8
1240,R C A A (4),67.3299,0.863341,1177.9
1266,R R A A (1),66.928,0.927354,1187.6
