,Juego_repr,Juego_1_general,Stddev_juego_1_general,Juego_2_general,Stddev_juego_2_general,Juego_value_general,Juego_1_sin_pares,Stddev_juego_1_sin_pares,Juego_2_sin_pares,Stddev_juego_2_sin_pares,Juego_value_sin_pares,Pares_value_x,Juego_1_con_pares,Stddev_juego_1_con_pares,Juego_2_con_pares,Stddev_juego_2_con_pares,Juego_value,Pares_value_y
0, 31 (1),100.0,0.0,100.0,0.0,31.4,100.0,0.0,100.0,0.0,31.4,0.4,100.0,0.0,100.0,0.0,31.399999999999995,273.73333333333335
1, 31 (2),91.48637199999999,1.39235028,85.41291600000001,2.30033812,31.3,91.2982,0.7419687142857142,85.2753857142857,1.2108814285714284,31.3,0.3,91.55955,1.6452764444444443,85.4664,2.724015722222222,31.299999999999997,273.6333333333333
2, 31 (3),83.602872,1.8426955999999999,71.903268,2.9198843999999995,31.2,83.25244285714287,0.9828052857142857,71.66014285714286,1.5401371428571429,31.2,0.2,83.73915,2.177097388888889,71.99781666666667,3.456452777777778,31.200000000000003,273.53333333333336
3, 31 (4),76.313388,2.11275336,59.409052,3.1807128000000002,31.1,75.82335714285715,1.1266877142857143,59.08714285714286,1.680037142857143,31.1,0.1,76.50395555555556,2.4962233333333335,59.534238888888886,3.764308888888889,31.100000000000005,273.43333333333334
4, 32 (1),75.78755,2.0910283333333335,58.652525,3.1440283333333334,32.4,75.88119999999999,1.1856033333333336,58.665600000000005,1.78808,32.4,0.4000000000000001,75.75633333333333,2.3928366666666667,58.64816666666666,3.5960111111111113,32.4,2622.0666666666666
5, 32 (2),73.70370833333332,2.150365,55.094258333333336,3.1761633333333332,32.3,73.9221,1.2202433333333333,55.307633333333335,1.8087733333333331,32.3,0.3,73.6309111111111,2.4604055555555555,55.023133333333334,3.6319600000000003,32.3,2621.9666666666667
6, 32 (3),71.66449999999999,2.2017308333333334,51.61452499999999,3.1898733333333333,32.2,72.00313333333334,1.2455633333333334,52.01846666666666,1.8137133333333333,32.2,0.20000000000000004,71.55162222222222,2.5204533333333337,51.47987777777777,3.648593333333333,32.2,2621.866666666667
7, 32 (4),69.666725,2.24579,48.200208333333336,3.1904725,32.1,70.12126666666667,1.2696633333333334,48.79376666666667,1.8156233333333331,32.1,0.10000000000000002,69.51521111111111,2.5711655555555555,48.00235555555556,3.6487555555555553,32.1,2621.766666666667
8, 40 (1),74.68235333333334,6.2695,47.15976,9.723528,40.4,,,,,,,74.68235333333334,6.2695,47.15976,9.723528,40.4,3582.6
9, 40 (2),73.9338,6.331239333333333,45.597899999999996,9.698231999999999,40.3,,,,,,,73.9338,6.331239333333333,45.597899999999996,9.698231999999999,40.3,3582.5
10, 40 (3),73.18275999999999,6.387194666666667,44.02921333333334,9.660214,40.2,,,,,,,73.18275999999999,6.387194666666667,44.02921333333334,9.660214,40.2,3582.4
11, 40 (4),72.43416666666667,6.442061999999999,42.4746,9.623901333333333,40.1,,,,,,,72.43416666666667,6.442061999999999,42.4746,9.623901333333333,40.1,3582.3
12, 37 (1),69.34488,2.69575,41.29559,4.002457,37.4,69.3453,1.12306,41.2933,1.6615,37.4,0.4,69.34483333333334,2.8704933333333336,41.29584444444444,4.2625633333333335,37.4,310.73333333333335
13, 37 (2),68.11475,2.723726,38.93892,3.964049,37.3,68.1152,1.13492,38.9389,1.64522,37.3,0.3,68.1147,2.9002600000000003,38.93892222222222,4.221696666666666,37.3,310.6333333333333
14, 37 (3),66.89795000000001,2.751804,36.60356,3.9201259999999998,37.2,66.897,1.14599,36.6055,1.62465,37.2,0.2,66.89805555555556,2.9302277777777777,36.603344444444446,4.175178888888889,37.2,310.53333333333336
15, 37 (4),65.68509,2.774006,34.28443,3.8577129999999995,37.1,65.686,1.15753,34.2863,1.60224,37.1,0.1,65.68498888888888,2.9536144444444448,34.28422222222222,4.1083211111111115,37.1,310.43333333333334
16, 36 (1),64.03166999999999,2.8046689999999996,32.64341,3.769483,36.4,64.0257,1.17045,32.6358,1.56576,36.4,0.4,64.03233333333333,2.986248888888889,32.64425555555555,4.014341111111111,36.4,310.73333333333335
17, 36 (2),62.85137999999999,2.825993,30.43652,3.6970219999999996,36.3,62.854,1.1813,30.4369,1.539,36.3,0.3,62.85108888888889,3.0087366666666666,30.436477777777775,3.9368022222222216,36.3,310.6333333333333
18, 36 (3),61.6802,2.844863,28.24198,3.6228360000000004,36.2,61.6778,1.18768,28.2397,1.50562,36.2,0.2,61.68046666666666,3.0289944444444448,28.24223333333333,3.8580822222222224,36.2,310.53333333333336
19, 36 (4),60.51990000000001,2.855202,26.06674,3.527672,36.1,60.5157,1.19029,26.0613,1.46537,36.1,0.1,60.52036666666667,3.040192222222222,26.067344444444444,3.7568166666666665,36.1,310.43333333333334
20, 35 (1),59.67398000000001,2.869766,25.57861,3.483025,35.4,59.6796,1.19663,25.5802,1.44647,35.4,0.4,59.67335555555556,3.05567,25.578433333333333,3.709308888888889,35.4,310.73333333333335
21, 35 (2),58.52478,2.880648,23.4535,3.382607,35.3,58.5213,1.20077,23.4464,1.40303,35.3,0.3,58.525166666666664,3.0673011111111115,23.454288888888886,3.60256,35.3,310.6333333333333
22, 35 (3),57.38072999999999,2.893638,21.336570000000002,3.2727559999999998,35.2,57.375,1.20724,21.3351,1.35929,35.2,0.2,57.38136666666666,3.0810155555555556,21.33673333333333,3.485363333333334,35.2,310.53333333333336
23, 35 (4),56.24285,2.900867,19.2412,3.1451529999999996,35.1,56.2415,1.21169,19.242,1.30923,35.1,0.1,56.243,3.0885533333333335,19.24111111111111,3.3491444444444443,35.1,310.43333333333334
24, 34 (1),53.1389375,2.95610375,15.74991875,2.90194625,34.4,53.9845,1.21683,16.6583,1.22365,34.4,0.4,53.08256666666667,3.072055333333333,15.68936,3.0138326666666666,34.4,1748.6
25, 34 (2),51.391275,2.9613581250000003,12.61026875,2.64255125,34.3,52.3243,1.21605,13.6464,1.12723,34.3,0.3,51.32907333333333,3.077712,12.541193333333332,2.7435726666666667,34.3,1748.5
26, 34 (3),49.67175,2.961421875,9.521955,2.329976875,34.2,50.6916,1.21763,10.6895,1.01485,34.2,0.2,49.60376,3.077674666666667,9.444118666666666,2.417652,34.2,1748.4
27, 34 (4),47.98840625,2.961279375,6.494385,1.9417355,34.1,49.0849,1.22107,7.77953,0.879313,34.1,0.1,47.915306666666666,3.077293333333333,6.408708666666667,2.012563666666667,34.1,1748.3
28, 33 (1),45.21673333333334,1.844523333333333,4.715135,1.0361268333333333,33.4,45.215066666666665,1.3814766666666667,4.71411,0.7760189999999999,33.4,0.4000000000000001,45.2184,2.3075699999999997,4.7161599999999995,1.2962346666666666,33.4,77.4
29, 33 (2),44.30595,1.83883,3.127428333333333,0.8506999999999999,33.3,44.30403333333334,1.3787133333333335,3.12879,0.637828,33.3,0.3,44.307866666666676,2.2989466666666667,3.1260666666666665,1.063572,33.3,77.3
30, 33 (3),43.39841666666666,1.8345816666666668,1.55591,0.6051894999999999,33.2,43.39993333333333,1.37467,1.55562,0.45331866666666665,33.2,0.20000000000000004,43.396899999999995,2.2944933333333335,1.5561999999999998,0.7570603333333333,33.2,77.2
31, 33 (4),42.504733333333334,1.8323966666666667,0.0,0.0,33.1,42.504533333333335,1.3739833333333333,0.0,0.0,33.1,0.10000000000000002,42.504933333333334,2.29081,0.0,0.0,33.1,77.1
