,Mano,Grande,Stddev_grande,Chica,Stddev_chica,Pares_1,Stddev_pares_1,Pares_2,Stddev_pares_2,Juego_1,Stddev_juego_1,Juego_2,Stddev_juego_2,Punto,Stddev_punto,Grande_value,Chica_value,Pares_value,Juego_value,Pares_repr,Juego_repr,SampleAppearances,Muestras_total,Muestras_pares_1,Muestras_pares_2,Muestras_juego_1,Muestras_juego_2,Muestras_punto,Samples,Sample_size
0,S 5 5 4 (1),0.0435703,0.0832618,2.0918,0.570037,19.4458,1.577,14.0975,1.4305,0.0,0.0,0.0,0.0,13.4333,2.36791,6332.4,2335.6,33.4,24.4, 5 5 X X (1), 24 (1),600000,378171213,378171213,354625798,252837652,67283836,125333561,600000,600000
1,R 6 6 5 (3),8.38904,0.781725,0.173752,0.117286,26.0248,1.23517,20.2828,1.17451,0.0,0.0,0.0,0.0,42.7307,2.35228,8443.2,3447.8,44.2,27.2, 6 6 X X (3), 27 (3),600000,756349298,756349298,701870041,490495686,122957552,265853612,600000,600000
2,C S 6 A (1),1.72352,0.224421,11.7863,0.555755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0066,1.38972,7641.4,1466.6,0.4,27.4, X X X X (1), 27 (1),600000,2016953232,1865047126,1228443255,1240882020,282252856,776071212,600000,600000
3,7 7 7 A (4),0.00998671,0.0689961,8.40411,1.91794,79.2346,2.80542,77.7737,2.97622,0.0,0.0,0.0,0.0,2.04848,1.72774,5551.1,1554.9,555.1,22.1, 7 7 7 X (4), 22 (4),600000,126056120,126056120,117770814,85154693,23042631,40901427,600000,600000
4,S 7 6 A (3),0.146609,0.0659786,13.4007,0.587651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.58548,0.862942,6541.2,1455.8,0.2,24.2, X X X X (3), 24 (3),600000,2016842606,1864927456,1228423137,1317116740,334726108,699725866,600000,600000
5,C C S 6 (1),2.42429,0.612399,0.0019982,0.0178385,38.332,1.93717,34.238,1.95184,64.0313,1.91379,32.647,2.56244,0.0,0.0,7764.4,4676.6,77.4,36.4, C C X X (1), 36 (1),600000,378156151,378156151,354614133,378156151,201948431,0,600000,600000
6,C 7 5 A (2),0.993709,0.171235,21.8429,0.713112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.29941,0.771392,7531.3,1356.7,0.3,23.3, X X X X (2), 23 (2),600000,2016936330,1865025178,1228465335,1334647677,348031113,682288653,600000,600000
7,S 4 4 4 (2),0.0286047,0.165928,2.42809,1.50941,77.1456,4.10778,75.7737,4.31689,0.0,0.0,0.0,0.0,3.66027,3.34972,6222.3,2225.7,222.3,22.3, 4 4 4 X (2), 22 (2),600000,63024865,63024865,59456108,43535937,12357968,19488928,600000,600000
8,R R R A (2),98.6335,0.213912,4.18113,0.369046,90.0915,0.550795,88.943,0.610702,92.2756,0.492128,86.2612,0.84706,0.0,0.0,8881.3,1887.7,888.3,3100.3, R R R X (2), 31 (2),600000,1764798329,1764798329,1581489078,1764798329,992232066,0,600000,600000
9,R 7 4 A (1),10.5415,0.374076,40.0721,0.596821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.38139,0.480937,8521.4,1257.6,0.4,22.4, X X X X (1), 22 (1),600000,4033773419,3684473531,2352376690,2714790744,732016995,1318982675,600000,600000
10,S S S 6 (3),0.215317,0.454555,0.00218688,0.0458186,78.8799,3.99967,77.6111,4.20745,61.6751,4.75941,28.2423,6.0599,0.0,0.0,6664.2,4665.8,666.2,36.2, S S S X (3), 36 (3),600000,63022810,63022810,59451834,63022810,33659409,0,600000,600000
11,S 6 5 A (4),0.0655707,0.0441598,24.9781,0.746899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.65796,0.386507,6431.1,1345.9,0.1,22.1, X X X X (4), 22 (4),600000,2016867302,1864961598,1228443947,1359819267,367972116,657048035,600000,600000
12,C S 7 6 (2),2.01415,0.343,0.00642843,0.0195231,0.0,0.0,0.0,0.0,44.3067,1.21179,3.12733,0.559417,0.0,0.0,7654.3,4566.7,0.3,33.3, X X X X (2), 33 (2),600000,1008473867,942691275,639921104,1008473867,579783978,0,600000,600000
13,C 6 4 A (3),0.639752,0.13778,44.8875,0.856839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02073,0.307844,7421.2,1246.8,0.2,21.2, X X X X (3), 21 (3),600000,2016848796,1864932585,1228421532,1376524063,381712571,640324733,600000,600000
14,R C C A (3),55.4559,0.991228,4.56922,0.416044,46.6757,0.994891,41.8539,1.02693,85.0686,0.709366,73.4432,1.17291,0.0,0.0,8771.2,1777.8,77.2,3100.2, C C X X (3), 31 (3),600000,1512661557,1512661557,1387222240,1512661557,850485160,0,600000,600000
15,R S 6 6 (1),22.6033,1.17745,0.00956141,0.0275209,29.2366,1.2805,23.745,1.24343,75.6971,1.20907,58.6442,1.81071,0.0,0.0,8644.4,4467.6,44.4,320.4, 6 6 X X (1), 32 (1),600000,756266628,756266628,701803132,756266628,444420873,0,600000,600000
16,S 7 7 6 (4),0.175855,0.16709,0.0073426,0.0341537,28.0474,1.79022,23.2703,1.73962,0.0,0.0,0.0,0.0,85.8515,2.24096,6554.1,4555.9,55.1,30.1, 7 7 X X (4), 30 (4),600000,378169407,378169407,354624928,232015684,52297011,146153723,600000,600000
17,R 6 A A (2),6.42387,0.319769,78.5552,0.535439,14.1517,0.454166,4.9892,0.298586,0.0,0.0,0.0,0.0,0.0659325,0.0605167,8411.3,1147.7,11.3,18.3, A A X X (2), 18 (2),600000,3529530573,3529530573,3189155722,2447354667,700540228,1082175906,600000,600000
18,C C C C (2),2.42678,6.66093,0.0,0.0,91.5553,12.013,91.1222,12.6555,73.9283,18.957,45.5877,32.0716,0.0,0.0,7777.3,7776.7,7777.3,40.3, C C C C (2), 40 (2),599192,3941141,3941141,3748333,3941141,1887470,0,600000,600000
19,R R 7 5 (3),80.3221,0.732285,0.0514424,0.0418356,61.1485,0.898542,57.5776,0.952483,72.0059,0.827213,52.0222,1.2058,0.0,0.0,8853.2,3587.8,88.2,320.2, R R X X (3), 32 (3),600000,1764698762,1764698762,1616152783,1764698762,1029667749,0,600000,600000
20,C 7 6 6 (3),1.17118,0.42871,0.00995021,0.0398158,25.662,1.74043,20.7266,1.6681,0.0,0.0,0.0,0.0,79.5089,2.63432,7544.2,4456.8,44.2,29.2, 6 6 X X (3), 29 (3),600000,378165925,378165925,354621917,236834229,55508710,141331696,600000,600000
21,7 6 5 5 (1),0.00670921,0.0326931,0.215997,0.184674,21.5023,1.64025,16.2905,1.52184,0.0,0.0,0.0,0.0,9.52465,2.1153,5433.4,3344.6,33.4,23.4, 5 5 X X (1), 23 (1),600000,378156229,378156229,354611865,261484773,74223727,116671456,600000,600000
22,C 5 A A (4),0.471937,0.126351,85.1257,0.655488,8.41834,0.511489,0.0,0.0,0.0,0.0,0.0,0.0,0.00825528,0.0306782,7311.1,1136.9,11.1,17.1, A A X X (4), 17 (4),600000,1764699862,1764699862,1616141297,1237730093,362646161,526969769,600000,600000
23,6 5 5 5 (3),9.98959e-05,0.00971174,0.215901,0.454594,77.6789,4.08271,76.3383,4.29139,0.0,0.0,0.0,0.0,1.20832,2.00462,4333.2,3333.8,333.2,21.2, 5 5 5 X (3), 21 (3),600000,63005932,63005932,59436006,44588694,13280011,18417238,600000,600000
24,R 6 4 A (4),6.64008,0.303699,43.0439,0.603144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.827606,0.196277,8421.1,1247.9,0.1,21.1, X X X X (4), 21 (4),600000,4033769942,3684484180,2352383895,2753095814,763457049,1280674128,600000,600000
25,S S 5 4 (2),0.206908,0.181189,1.62288,0.503983,31.6341,1.85359,27.0953,1.8297,0.0,0.0,0.0,0.0,84.2234,2.33797,6632.3,2365.7,66.3,29.3, S S X X (2), 29 (2),600000,378178017,378178017,354634244,231650592,52257086,146527425,600000,600000
26,C S 4 4 (1),1.50091,0.484743,2.34528,0.603886,17.4238,1.51325,11.9421,1.33542,0.0,0.0,0.0,0.0,78.4306,2.67806,7622.4,2266.6,22.4,28.4, 4 4 X X (1), 28 (1),600000,378163712,378163712,354622290,235713332,54926210,142450380,600000,600000
27,R 7 6 6 (4),13.6362,0.967252,0.00979279,0.0278532,28.2625,1.26875,22.6935,1.22503,0.0,0.0,0.0,0.0,75.3316,1.98905,8544.1,4457.9,44.1,29.1, 6 6 X X (4), 29 (4),600000,756306881,756306881,701824813,473653136,111025997,282653745,600000,600000
28,7 7 5 4 (4),0.00958566,0.0390475,1.79949,0.529473,25.5322,1.73909,20.5893,1.66503,0.0,0.0,0.0,0.0,7.27478,1.86824,5532.1,2354.9,55.1,23.1, 7 7 X X (4), 23 (4),600000,378140788,378140788,354603644,261330991,74095043,116809797,600000,600000
29,C S S 5 (1),2.09357,0.570881,0.0435887,0.0832393,34.9316,1.90087,30.6114,1.897,59.6771,1.95597,25.5822,2.36748,0.0,0.0,7663.4,3666.6,66.4,35.4, S S X X (1), 35 (1),600000,378173686,378173686,354628003,378173686,204911631,0,600000,600000
30,6 6 A A (1),0.000120697,0.00331471,81.8149,1.16253,90.2126,0.895326,89.3545,0.969373,0.0,0.0,0.0,0.0,0.000358634,0.0111699,4411.4,1143.6,4411.4,14.4, 6 6 A A (1), 14 (1),600000,661752026,661752026,608415279,489221701,159834914,172530325,600000,600000
31,S 7 4 4 (3),0.115794,0.135523,2.36689,0.606197,16.9946,1.49417,11.4815,1.31071,0.0,0.0,0.0,0.0,16.0654,2.53625,6522.2,2255.8,22.2,25.2, 4 4 X X (3), 25 (3),600000,378182286,378182286,354628705,251319699,66087624,126862587,600000,600000
32,R R 4 A (2),68.2637,0.60713,32.8897,0.612537,71.2472,0.589776,68.1785,0.638633,0.0,0.0,0.0,0.0,17.5926,0.819666,8821.3,1287.7,88.3,25.3, R R X X (2), 25 (2),600000,3529538188,3529538188,3189168469,2237026964,538092493,1292511224,600000,600000
33,C A A A (1),0.420281,0.168918,98.9554,0.26468,79.504,1.05398,77.4556,1.14478,0.0,0.0,0.0,0.0,1.59409e-06,0.000617413,7111.4,1116.6,111.4,13.4, A A A X (1), 13 (1),600000,882323677,882323677,802155657,637064890,198276281,245258787,600000,600000
34,5 5 A A (3),0.0,0.0,88.5795,0.958836,89.5685,0.920415,88.6542,0.995988,0.0,0.0,0.0,0.0,0.0,0.0,3311.2,1132.8,3311.2,12.2, 5 5 A A (3), 12 (3),600000,661730821,661730821,608404711,498165717,169401819,163565104,600000,600000
35,R R S 4 (2),85.5611,0.648422,0.486297,0.128176,68.7773,0.853172,65.9072,0.911827,52.3228,0.92008,13.6457,0.85206,0.0,0.0,8862.3,2687.7,88.3,34.3, R R X X (2), 34 (2),600000,1764668358,1764668358,1616110569,1764668358,974294178,0,600000,600000
36,C 7 7 5 (2),1.20979,0.435042,0.0806574,0.113125,28.6942,1.80202,23.9586,1.7556,0.0,0.0,0.0,0.0,81.4572,2.52686,7553.3,3556.7,55.3,29.3, 7 7 X X (2), 29 (2),600000,378185795,378185795,354633182,235512007,54614591,142673788,600000,600000
37,C C 4 A (4),2.32177,0.424389,34.9246,1.34453,38.5228,1.3717,33.7508,1.38262,0.0,0.0,0.0,0.0,12.5277,1.54222,7721.1,1276.9,77.1,25.1, C C X X (4), 25 (4),600000,756343117,756343117,701862606,479367673,115314764,276975444,600000,600000
38,R 7 6 5 (1),13.5785,0.590552,0.153315,0.0675556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.6206,1.21091,8543.4,3457.6,0.4,28.4, X X X X (1), 28 (1),600000,2016787534,1864895353,1228380286,1281303625,308764147,735483909,600000,600000
39,C C S 4 (4),2.41326,0.61274,0.536654,0.291528,37.1316,1.92361,32.957,1.93175,49.0855,1.9911,7.78131,1.44032,0.0,0.0,7762.1,2676.9,77.1,34.1, C C X X (4), 34 (4),600000,378160630,378160630,354613155,378160630,208785096,0,600000,600000
40,R C A A (3),32.5946,0.611317,67.7968,0.609817,11.7747,0.420584,2.35767,0.208374,0.0,0.0,0.0,0.0,2.05294,0.309701,8711.2,1177.8,11.2,22.2, A A X X (3), 22 (3),600000,3529458516,3529458516,3189062303,2273602386,563992439,1255856130,600000,600000
