,Mano,Grande,Stddev_grande,Grande_value
872,R R R R (1),100.0,0.0,8888.4
1045,R R R R (2),99.9983,0.0190026,8888.3
1219,R R R R (3),99.9966,0.0272763,8888.2
1276,R R R R (4),99.995,0.0330653,8888.1
1289,R R R C (1),99.9744,0.0417345,8887.4
134,R R R C (2),99.9236,0.072098,8887.3
305,R R R C (3),99.8725,0.0930951,8887.2
367,R R R C (4),99.822,0.110024,8887.1
382,R R R S (1),99.7706,0.124805,8886.4
550,R R R S (2),99.7202,0.137867,8886.3
730,R R R S (3),99.6689,0.149716,8886.2
795,R R R S (4),99.618,0.160852,8886.1
808,R R R 7 (1),99.5673,0.171385,8885.4
978,R R R 7 (2),99.5162,0.180674,8885.3
1150,R R R 7 (3),99.4651,0.190082,8885.2
1209,R R R 7 (4),99.4146,0.198675,8885.1
1224,R R R 6 (1),99.3633,0.207576,8884.4
71,R R R 6 (2),99.312,0.215354,8884.3
245,R R R 6 (3),99.2613,0.22362,8884.2
301,R R R 6 (4),99.2103,0.23092,8884.1
309,R R R 5 (1),99.1599,0.237604,8883.4
483,R R R 5 (2),99.1091,0.245243,8883.3
667,R R R 5 (3),99.0572,0.252189,8883.2
722,R R R 5 (4),99.0067,0.258636,8883.1
735,R R R 4 (1),98.9559,0.264945,8882.4
910,R R R 4 (2),98.9047,0.27156,8882.3
1086,R R R 4 (3),98.8546,0.277561,8882.2
1146,R R R 4 (4),98.804,0.283216,8882.1
1154,R R R A (1),98.7526,0.204493,8881.4
8,R R R A (2),98.6335,0.213912,8881.3
179,R R R A (3),98.5146,0.222861,8881.2
239,R R R A (4),98.3959,0.231524,8881.1
187,R R C C (1),96.8703,0.525416,8877.4
358,R R C C (2),96.845,0.526667,8877.3
528,R R C C (3),96.8187,0.528819,8877.2
598,R R C C (4),96.7949,0.529771,8877.1
608,R R C S (1),96.6425,0.332068,8876.4
779,R R C S (2),96.4158,0.342232,8876.3
953,R R C S (3),96.1877,0.352985,8876.2
1016,R R C S (4),95.9607,0.363665,8876.1
1029,R R C 7 (1),95.7337,0.37295,8875.4
1198,R R C 7 (2),95.5055,0.382056,8875.3
50,R R C 7 (3),95.2778,0.3911,8875.2
108,R R C 7 (4),95.0523,0.400401,8875.1
119,R R C 6 (1),94.8252,0.408339,8874.4
289,R R C 6 (2),94.5988,0.416305,8874.3
467,R R C 6 (3),94.3723,0.424767,8874.2
525,R R C 6 (4),94.1464,0.434242,8874.1
533,R R C 5 (1),93.921,0.440375,8873.4
712,R R C 5 (2),93.6953,0.447535,8873.3
893,R R C 5 (3),93.4699,0.45593,8873.2
