,Pares_repr,Pares_1,Stddev_pares_1,Pares_2,Stddev_pares_2,Pares_value
160, R R R R (1),100.0,0.0,100.0,0.0,8888.4
161, R R R R (2),99.9983,0.0190026,99.9982,0.0209892,8888.3
162, R R R R (3),99.9966,0.0272763,99.9962,0.0301314,8888.2
163, R R R R (4),99.995,0.0330653,99.9945,0.0365132,8888.1
156, R R C C (1),99.9236,0.0831753,99.9169,0.0904665,8877.4
157, R R C C (2),99.8982,0.0961363,99.8892,0.104567,8877.3
158, R R C C (3),99.8725,0.10759,99.8614,0.117027,8877.2
159, R R C C (4),99.8475,0.117688,99.8341,0.127999,8877.1
168, R R S S (1),99.4659,0.219776,99.419,0.239001,8866.4
169, R R S S (2),99.4397,0.224987,99.3906,0.244657,8866.3
170, R R S S (3),99.4148,0.229785,99.3635,0.249882,8866.2
171, R R S S (4),99.3893,0.234369,99.3358,0.254859,8866.1
148, R R 7 7 (1),99.0074,0.298836,98.9204,0.324887,8855.4
149, R R 7 7 (2),98.9825,0.301853,98.8934,0.328167,8855.3
150, R R 7 7 (3),98.9576,0.306072,98.8663,0.332763,8855.2
151, R R 7 7 (4),98.9319,0.309517,98.8382,0.33651,8855.1
144, R R 6 6 (1),98.5513,0.359802,98.4243,0.391139,8844.4
145, R R 6 6 (2),98.5258,0.363776,98.3966,0.395412,8844.3
146, R R 6 6 (3),98.5006,0.366318,98.3691,0.398196,8844.2
147, R R 6 6 (4),98.4758,0.368636,98.3422,0.400728,8844.1
140, R R 5 5 (1),98.0969,0.41183,97.9301,0.447573,8833.4
141, R R 5 5 (2),98.0714,0.414186,97.9023,0.450075,8833.3
142, R R 5 5 (3),98.0457,0.416701,97.8744,0.452919,8833.2
143, R R 5 5 (4),98.0206,0.41935,97.8471,0.455779,8833.1
136, R R 4 4 (1),97.6416,0.457074,97.4348,0.496623,8822.4
137, R R 4 4 (2),97.6169,0.460623,97.408,0.500478,8822.3
138, R R 4 4 (3),97.5929,0.462184,97.3818,0.502147,8822.2
139, R R 4 4 (4),97.566,0.463661,97.3526,0.503693,8822.1
152, R R A A (1),97.188,0.230374,96.8507,0.25756,8811.4
153, R R A A (2),96.8107,0.244857,96.428,0.273738,8811.3
154, R R A A (3),96.4331,0.258388,96.0051,0.288786,8811.2
155, R R A A (4),96.0573,0.271142,95.5843,0.302948,8811.1
120, C C C C (1),91.577,11.981,91.1429,12.6364,7777.4
121, C C C C (2),91.5553,12.013,91.1222,12.6555,7777.3
122, C C C C (3),91.5411,12.0323,91.1047,12.6944,7777.2
123, C C C C (4),91.5323,12.0211,91.0977,12.6627,7777.1
128, C C S S (1),92.0931,1.75986,91.5936,1.86649,7766.4
129, C C S S (2),92.0941,1.76021,91.5946,1.86674,7766.3
130, C C S S (3),92.0892,1.75849,91.5892,1.86499,7766.2
131, C C S S (4),92.0882,1.75863,91.5882,1.86517,7766.1
112, C C 7 7 (1),92.0641,1.76109,91.563,1.86708,7755.4
113, C C 7 7 (2),92.0711,1.76246,91.5702,1.86893,7755.3
114, C C 7 7 (3),92.0637,1.76108,91.5627,1.86733,7755.2
115, C C 7 7 (4),92.059,1.76044,91.5572,1.86697,7755.1
108, C C 6 6 (1),92.0382,1.76376,91.5351,1.87032,7744.4
109, C C 6 6 (2),92.0345,1.76681,91.5314,1.87344,7744.3
110, C C 6 6 (3),92.0369,1.76355,91.5338,1.86998,7744.2
111, C C 6 6 (4),92.0301,1.76814,91.5269,1.87468,7744.1
104, C C 5 5 (1),92.0044,1.76557,91.4992,1.87229,7733.4
105, C C 5 5 (2),92.006,1.76759,91.5009,1.87424,7733.3
106, C C 5 5 (3),92.0033,1.76737,91.4978,1.87433,7733.2
107, C C 5 5 (4),92.0071,1.76856,91.5023,1.87529,7733.1
100, C C 4 4 (1),91.9781,1.77053,91.4714,1.87738,7722.4
101, C C 4 4 (2),91.9807,1.77055,91.4741,1.8774,7722.3
102, C C 4 4 (3),91.9794,1.77191,91.4727,1.87876,7722.2
103, C C 4 4 (4),91.98,1.7693,91.4733,1.87579,7722.1
116, C C A A (1),93.0543,0.766669,92.4454,0.831109,7711.4
117, C C A A (2),93.0323,0.767081,92.4214,0.831559,7711.3
118, C C A A (3),93.006,0.768595,92.3929,0.833193,7711.2
119, C C A A (4),92.9821,0.768897,92.367,0.833453,7711.1
196, S S S S (1),90.0674,12.9097,89.5599,13.5942,6666.4
197, S S S S (2),90.0962,12.8905,89.5872,13.5893,6666.3
198, S S S S (3),90.0543,12.9063,89.5438,13.5952,6666.2
199, S S S S (4),90.0822,12.8703,89.5703,13.5651,6666.1
188, S S 7 7 (1),90.7202,1.89034,90.134,2.0031,6655.4
189, S S 7 7 (2),90.7196,1.89323,90.1334,2.00624,6655.3
190, S S 7 7 (3),90.7184,1.89394,90.1322,2.00751,6655.2
191, S S 7 7 (4),90.7187,1.89048,90.1328,2.0033,6655.1
184, S S 6 6 (1),90.6935,1.89491,90.1053,2.00834,6644.4
185, S S 6 6 (2),90.6893,1.89162,90.1011,2.00462,6644.3
186, S S 6 6 (3),90.6865,1.89526,90.0982,2.00896,6644.2
187, S S 6 6 (4),90.6828,1.89561,90.0941,2.0094,6644.1
180, S S 5 5 (1),90.6616,1.89619,90.0716,2.00953,6633.4
181, S S 5 5 (2),90.6591,1.89585,90.0691,2.00911,6633.3
182, S S 5 5 (3),90.6596,1.89678,90.0695,2.01059,6633.2
183, S S 5 5 (4),90.6562,1.89636,90.0656,2.01007,6633.1
176, S S 4 4 (1),90.6345,1.89716,90.0428,2.01074,6622.4
177, S S 4 4 (2),90.6334,1.90137,90.0418,2.01496,6622.3
178, S S 4 4 (3),90.6337,1.89867,90.0418,2.01231,6622.2
179, S S 4 4 (4),90.6301,1.90089,90.0379,2.0146,6622.1
192, S S A A (1),91.9272,0.819448,91.2195,0.88776,6611.4
193, S S A A (2),91.9052,0.821904,91.1957,0.890418,6611.3
194, S S A A (3),91.8806,0.823048,91.1688,0.891582,6611.2
195, S S A A (4),91.8576,0.823955,91.144,0.892594,6611.1
72, 7 7 7 7 (1),88.7686,13.6355,88.1879,14.3708,5555.4
73, 7 7 7 7 (2),88.7729,13.6045,88.1926,14.332,5555.3
74, 7 7 7 7 (3),88.7723,13.639,88.1939,14.3682,5555.2
75, 7 7 7 7 (4),88.7636,13.6378,88.1794,14.3799,5555.1
68, 7 7 6 6 (1),89.5284,1.99891,88.8671,2.11759,5544.4
69, 7 7 6 6 (2),89.5267,1.99655,88.8655,2.11486,5544.3
