,punto,probabilidad_general,probabilidad_sin_pares,probabilidad_con_pares
24,30,4.52123,4.0619,4.92435
23,29,4.01669,4.0636,3.97105
22,28,9.00694,11.3828,6.90541
21,27,8.43295,11.3839,5.81517
20,26,8.48595,11.3948,5.91756
19,25,9.27696,11.3847,7.40627
18,24,4.54824,6.49724,2.8141
17,23,5.24064,6.50164,4.10165
16,22,11.8144,13.8111,10.0442
15,21,4.94407,6.49956,3.56107
14,20,3.97428,6.51142,1.72275
13,19,5.11717,1.62819,8.21866
12,18,4.09496,1.6255,6.29031
11,17,4.03862,1.63092,6.18007
10,16,4.02926,1.62258,6.15686
9,15,1.24379,,2.34632
8,14,1.20666,,2.27782
7,13,2.72546,,5.15165
6,12,0.920554,,1.73284
5,11,0.66828,,1.25915
4,10,0.585515,,1.10264
3,9,0.334647,,0.634304
2,8,0.333684,,0.634529
1,7,0.33337,,0.632507
0,4,0.105666,,0.198717
